userName,2023-04-01,2023-04-02,2023-04-03,2023-04-04,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-22,2023-04-23,2023-04-24,2023-04-25,2023-04-26,2023-04-27,2023-04-28,2023-04-29,2023-04-30,2023-05-01,2023-05-02,2023-05-03,2023-05-04,2023-05-05,2023-05-06,2023-05-07,2023-05-08,2023-05-09,2023-05-10,2023-05-11,2023-05-12,2023-05-13,2023-05-14,2023-05-15,2023-05-16,2023-05-17,2023-05-18,2023-05-19,2023-05-20,2023-05-21,2023-05-22,2023-05-23,2023-05-24,2023-05-25,2023-05-26,2023-05-27,2023-05-28,2023-05-29,2023-05-30,2023-05-31
liuyiru,0.0,5.7938,11.5876,17.3815,23.1753,28.9691,34.7629,40.5568,46.3506,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444,52.1444
huzhilong,0.0,1.843,3.6861,5.5291,7.3721,9.2151,11.0582,12.9012,14.7442,16.5873,18.4303,20.2733,22.1163,23.9594,25.8024,27.6454,29.4885,31.3315,33.1745,35.0175,36.8606,38.7036,40.5466,42.3896,44.2327,46.0757,47.9187,49.7618,51.6048,53.4478,55.2908,57.1339,58.9769,60.8199,62.663,64.506,66.349,68.192,70.0351,71.8781,72.6945,73.5109,74.3274,75.1438,75.9602,75.9602,75.9602,75.9602,75.9935,75.9935,75.9935,75.9935,75.9935,75.9935,75.9935,76.384,76.7745,77.1651,77.5556,77.9461,77.9461
trytest,0.0,1.1353,2.2705,3.4058,4.541,5.6763,6.8116,7.9468,9.0821,10.2173,11.3526,12.4879,13.6231,14.7584,15.8936,17.0289,18.1642,19.2994,20.4347,21.5699,22.7052,23.8405,24.9757,26.111,27.2463,28.3815,29.5168,30.652,31.7873,32.9226,34.0578,35.1931,36.3283,37.4636,38.5989,39.7341,40.8694,42.0046,43.1399,44.2752,45.4104,46.5457,47.6809,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162
标杆算法1-IDM,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162,48.8162
标杆算法2-Lattice,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105,30.5105
异乡人,0.0,1.6078,3.2156,4.8233,6.4311,8.0389,9.6467,11.2544,12.8622,14.47,16.0778,17.6856,19.2933,20.9011,22.5089,24.1167,25.7244,27.3322,28.94,30.5478,32.1556,33.7633,35.3711,36.9789,38.5867,40.1945,41.8022,43.41,45.0178,46.6256,48.2333,49.8411,51.4489,53.0567,54.6645,56.2722,57.88,59.4878,61.0956,62.7033,64.3111,65.9189,67.5267,69.1345,70.7422,72.35,73.9578,75.5656,77.1733,78.7811,80.3889,83.1118,85.8347,88.5575,91.2804,91.8821,92.4837,93.0854,93.687,94.2887,94.6135
CodeNoob,0.0,1.5241,3.0483,4.5724,6.0965,7.6206,9.1448,10.6689,12.193,13.7172,15.2413,16.7654,18.2896,19.8137,21.3378,22.8619,24.3861,25.9102,27.4343,28.9585,30.4826,32.0067,33.5309,35.055,36.5791,38.1032,39.6274,41.1515,42.6756,44.1998,45.7239,47.248,48.7722,50.2963,51.8204,53.3445,54.8687,56.3928,57.9169,59.4411,60.9652,62.4893,64.0135,65.5376,67.0617,68.5858,70.11,71.6341,73.1582,74.6824,76.2065,77.7306,79.2548,80.7789,82.303,83.8271,85.3513,86.8754,88.3995,89.9237,91.4478
前行者,0.0,1.6133,3.2266,4.8399,6.4532,8.0665,9.6797,11.293,12.9063,14.5196,16.1329,17.7462,19.3595,20.9728,22.5861,24.1994,25.8127,27.4259,29.0392,30.6525,32.2658,33.8791,35.4924,37.1057,38.719,40.3323,41.9456,43.5588,45.1721,46.7854,48.3987,50.012,51.6253,53.2386,54.8519,56.4652,58.0785,59.6918,61.305,62.9183,64.5316,66.1449,67.7582,69.3715,70.9848,72.5981,74.2114,75.8247,77.438,79.0512,80.6645,82.2778,83.8911,85.5044,87.1177,87.5441,87.9705,88.397,88.8234,90.3468,91.8702
lxx_seu,0.0,1.7135,3.4271,5.1406,6.8542,8.5677,10.2813,11.9948,13.7084,15.4219,17.1355,18.849,20.5626,22.2761,23.9896,25.7032,27.4167,29.1303,30.8438,32.5574,34.2709,35.9845,37.698,39.4116,41.1251,42.8387,44.5522,46.2657,47.9793,49.6928,51.4064,53.1199,54.8335,56.547,58.2606,59.9741,61.6877,63.4012,65.1147,66.8283,68.5418,70.2554,71.9689,73.6825,75.396,77.1096,78.8231,80.5367,82.2502,83.9638,85.6773,85.942,86.2068,86.4715,86.7362,87.0009,87.2657,87.5304,87.7951,88.0599,88.3246
onxxno,0.0,1.5808,3.1616,4.7424,6.3232,7.9041,9.4849,11.0657,12.6465,14.2273,15.8081,17.3889,18.9697,20.5505,22.1314,23.7122,25.293,26.8738,28.4546,30.0354,31.6162,33.197,34.7778,36.3587,37.9395,39.5203,41.1011,42.6819,44.2627,45.8435,47.4243,49.0052,50.586,52.1668,53.7476,55.3284,56.9092,58.49,60.0708,61.6516,63.2325,64.8133,66.3941,67.9749,69.5557,71.1365,72.7173,74.2981,75.8789,77.4598,79.0406,80.6214,82.2022,83.783,84.769,85.755,86.741,87.727,88.713,92.8675,92.9591
