userName,2023-04-01,2023-04-02,2023-04-03,2023-04-04,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-22,2023-04-23,2023-04-24,2023-04-25,2023-04-26,2023-04-27,2023-04-28,2023-04-29,2023-04-30,2023-05-01,2023-05-02,2023-05-03,2023-05-04,2023-05-05,2023-05-06,2023-05-07,2023-05-08,2023-05-09,2023-05-10,2023-05-11,2023-05-12,2023-05-13,2023-05-14,2023-05-15,2023-05-16,2023-05-17,2023-05-18,2023-05-19,2023-05-20,2023-05-21,2023-05-22,2023-05-23,2023-05-24,2023-05-25,2023-05-26,2023-05-27,2023-05-28,2023-05-29,2023-05-30,2023-05-31
yangyh408,0.0,1.7776,3.5553,5.3329,7.1106,8.8882,10.6658,12.4435,14.2211,15.9988,17.7764,19.554,21.3317,23.1093,24.887,26.6646,28.4422,30.2199,31.9975,33.7752,35.5528,37.3305,39.1081,40.8857,42.6634,44.441,46.2187,47.9963,49.7739,51.5516,53.3292,55.1069,56.8845,56.8845,56.8845,56.8845,56.8845,56.8845,56.8845,56.8845,56.8845,56.8845,56.8845,56.8845,56.8845,56.8845,56.8845,56.8845,56.8845,56.8845,56.8845,56.8845,56.8845,56.8845,56.8845,56.8845,56.8845,56.8845,56.8845,56.8845,56.8845
cp3,0.0,1.0768,2.1535,3.2303,4.3071,5.3838,6.4606,7.5373,8.6141,9.6909,10.7676,11.8444,12.9212,13.9979,15.0747,16.1514,17.2282,18.305,19.3817,20.4585,21.5353,22.612,23.6888,24.7656,25.8423,26.9191,27.9958,29.0726,30.1494,31.2261,32.3029,33.3797,34.4564,35.5332,36.61,37.6867,38.7635,39.8402,40.917,41.9938,43.0705,44.1473,45.2241,46.3008,47.3776,48.4543,49.5311,50.6079,51.6846,52.7614,53.3531,53.9447,54.5364,55.1281,55.7197,56.3114,56.9031,57.4948,58.0864,58.6781,58.6781
huzhilong,0.0,1.3674,2.7348,4.1022,5.4696,6.837,8.2044,9.5718,10.9392,12.3066,13.674,15.0414,16.4088,17.7762,19.1436,20.511,21.8784,23.2458,24.6132,25.9806,27.348,28.7154,30.0828,31.4502,32.8176,34.185,35.5524,36.9198,38.2872,39.6546,41.0219,42.3893,43.7567,45.1241,46.4915,47.8589,49.2263,50.5937,51.9611,53.3285,54.6959,56.0633,57.4307,58.7981,60.1655,61.5329,62.9003,64.2677,65.6351,67.0025,68.3699,69.7373,71.1047,72.4721,73.8395,75.2069,76.5743,77.9417,79.3091,79.3091,79.3091
HZW,0.0,0.5908,1.1816,1.7725,2.3633,2.9541,3.5449,4.1358,4.7266,5.3174,5.9082,6.4991,7.0899,7.6807,8.2715,8.8623,9.4532,10.044,10.6348,11.2256,11.8165,12.4073,12.9981,13.5889,14.1798,14.7706,15.3614,15.9522,16.543,17.1339,17.7247,18.3155,18.9063,19.4972,20.088,20.6788,21.2696,21.8604,22.4513,23.0421,23.6329,24.2237,24.8146,25.4054,25.9962,26.587,27.1779,27.7687,28.3595,50.3271,50.3271,50.3271,53.0386,55.7501,58.4616,61.1731,62.3789,63.5847,64.7905,65.9963,65.9963
小fu同xuo,0.0,1.1742,2.3483,3.5225,4.6967,5.8708,7.045,8.2192,9.3933,10.5675,11.7417,12.9158,14.09,15.2642,16.4383,17.6125,18.7866,19.9608,21.135,22.3091,23.4833,24.6575,25.8316,27.0058,28.18,29.3541,30.5283,31.7025,32.8766,34.0508,35.225,36.3991,37.5733,38.7475,39.9216,41.0958,42.27,43.4441,44.6183,45.7925,46.9666,48.1408,49.315,50.4891,51.6633,52.8374,54.0116,55.1858,56.3599,57.5341,58.7083,59.8824,61.0566,62.2308,63.4049,64.5791,65.7533,66.9274,68.1016,68.1016,68.1016
标杆算法1-IDM,55.6075,55.6495,55.6915,55.7335,55.7755,55.8175,55.8595,55.9015,55.9435,55.9855,56.0276,56.0696,56.1116,56.1536,56.1956,56.2376,56.2796,56.3216,56.3636,56.4056,56.4476,56.4896,56.5316,56.5736,56.6156,56.6576,56.6996,56.7416,56.7837,56.8257,56.8677,56.9097,56.9517,56.9937,57.0357,57.0777,57.1197,57.1617,57.1617,57.1617,57.1617,57.1617,57.1617,57.1617,57.1617,57.1617,57.1617,57.1617,57.1617,57.1617,57.1617,57.1617,57.1617,57.1617,57.1617,57.1617,57.1617,57.1617,57.1617,57.1617,57.1617
标杆算法2-Lattice,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338,22.0338
FF_T,0.0,0.7698,1.5396,2.3095,3.0793,3.8491,4.6189,5.3887,6.1586,6.9284,7.6982,8.468,9.2378,10.0076,10.7775,11.5473,12.3171,13.0869,13.8567,14.6266,15.3964,16.1662,16.936,17.7058,18.4757,19.2455,20.0153,20.7851,21.5549,22.3247,23.0946,23.8644,24.6342,25.404,26.1738,26.9437,27.7135,28.4833,29.2531,30.0229,30.7928,31.5626,32.3324,33.1022,33.872,34.6418,35.4117,36.1815,36.9513,37.7211,38.4909,39.2608,40.0306,40.8004,66.3556,91.9109,92.0931,92.2753,92.4575,92.6397,92.6397
异乡人,0.0,1.6413,3.2825,4.9238,6.5651,8.2063,9.8476,11.4889,13.1301,14.7714,16.4127,18.0539,19.6952,21.3365,22.9777,24.619,26.2603,27.9015,29.5428,31.1841,32.8253,34.4666,36.1079,37.7491,39.3904,41.0317,42.6729,44.3142,45.9555,47.5967,49.238,50.8792,52.5205,54.1618,55.803,57.4443,59.0856,60.7268,62.3681,64.0094,65.6506,67.2919,68.9332,70.5744,72.2157,73.857,75.4982,77.1395,78.7808,80.422,82.0633,83.7046,85.3458,86.9871,88.6284,90.2696,91.9109,91.9109,91.9109,91.9109,91.9109
binjie,0.0,1.1276,2.2551,3.3827,4.5103,5.6379,6.7654,7.893,9.0206,10.1481,11.2757,12.4033,13.5308,14.6584,15.786,16.9136,18.0411,19.1687,20.2963,21.4238,22.5514,23.679,24.8066,25.9341,27.0617,28.1893,29.3168,30.4444,31.572,32.6996,33.8271,34.9547,36.0823,37.2098,38.3374,39.465,40.5925,41.7201,42.8477,43.9753,45.1028,46.2304,47.358,48.4855,49.6131,50.7407,51.8683,52.9958,54.1234,59.1418,64.1602,69.1786,74.1971,79.2155,84.2339,89.2523,89.6007,89.949,90.2974,90.6458,90.8333
