userName,2023-04-01,2023-04-02,2023-04-03,2023-04-04,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-22,2023-04-23,2023-04-24,2023-04-25,2023-04-26,2023-04-27,2023-04-28,2023-04-29,2023-04-30,2023-05-01,2023-05-02,2023-05-03,2023-05-04,2023-05-05,2023-05-06,2023-05-07,2023-05-08,2023-05-09,2023-05-10,2023-05-11,2023-05-12,2023-05-13,2023-05-14,2023-05-15,2023-05-16,2023-05-17,2023-05-18,2023-05-19,2023-05-20,2023-05-21,2023-05-22,2023-05-23,2023-05-24,2023-05-25,2023-05-26,2023-05-27,2023-05-28,2023-05-29,2023-05-30,2023-05-31
liuyiru,0.0,4.5278,9.0556,13.5834,18.1111,22.6389,27.1667,31.6945,36.2223,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406,48.2406
cp3,0.0,0.8301,1.6602,2.4902,3.3203,4.1504,4.9805,5.8106,6.6407,7.4708,8.3008,9.1309,9.961,10.7911,11.6212,12.4512,13.2813,14.1114,14.9415,15.7716,16.6017,17.4317,18.2618,19.0919,19.922,20.7521,21.5822,22.4122,23.2423,24.0724,24.9025,25.7326,26.5627,27.3928,28.2228,29.0529,29.883,30.7131,31.5432,32.3733,33.2033,34.0334,34.8635,35.6936,36.5237,37.3538,38.1838,39.0139,39.844,40.6741,41.5042,42.3343,43.1643,43.9944,44.8245,45.6546,46.4847,47.3148,48.1448,48.9749,49.805
liboxuan2457,0.0,2.2221,4.4443,6.6664,8.8885,11.1106,13.3328,15.5549,17.777,19.9992,22.2213,24.4434,26.6656,28.8877,31.1098,33.332,35.5541,37.7762,39.9983,42.2205,44.4426,46.6647,48.8869,51.109,53.3311,55.5532,57.7754,59.9975,62.2196,64.4418,66.6639,68.886,71.1082,73.3303,75.5524,77.7745,79.9967,82.2188,84.4409,86.6631,88.8852,89.1193,89.3533,89.5874,89.8215,90.0555,90.2896,90.5192,90.7488,90.8961,91.0434,91.1907,91.7959,92.0403,92.756,92.756,92.756,92.756,92.756,92.756,93.4214
cuteboy,0.0,1.7622,3.5244,5.2866,7.0488,8.811,10.5732,12.3355,14.0977,15.8599,17.6221,19.3843,21.1465,22.9087,24.6709,26.4331,28.1953,29.9575,31.7197,33.4819,35.2442,37.0064,38.7686,40.5308,42.293,44.0552,45.8174,47.5796,49.3418,51.104,52.8662,54.6284,56.3906,58.1529,59.9151,61.6773,63.4395,65.2017,66.9639,68.7261,69.7355,70.745,71.7544,72.7638,73.7732,74.7827,75.7921,76.366,76.9399,77.5139,78.0878,78.6617,79.2356,79.8095,80.3835,80.9574,81.5313,82.1052,82.6792,83.2531,83.827
trytest,0.0,1.5983,3.1966,4.7948,6.3931,7.9914,9.5897,11.188,12.7863,14.3845,15.9828,17.5811,19.1794,20.7777,22.3759,23.9742,25.5725,27.1708,28.7691,30.3673,31.9656,33.5639,35.1622,36.7605,38.3588,39.957,41.5553,43.1536,44.7519,46.3502,47.9484,49.5467,51.145,52.7433,54.3416,55.9398,57.5381,59.1364,60.7347,62.333,63.9313,65.5295,67.1278,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261
HZW,0.0,1.2952,2.5905,3.8857,5.1809,6.4762,7.7714,9.0666,10.3619,11.6571,12.9523,14.2475,15.5428,16.838,18.1332,19.4285,20.7237,22.0189,23.3142,24.6094,25.9046,27.1999,28.4951,29.7903,31.0856,32.3808,33.676,34.9712,36.2665,37.5617,38.8569,40.1522,41.4474,42.7426,44.0379,45.3331,46.6283,47.9236,49.2188,50.514,51.8093,53.1045,54.3997,55.6949,56.9902,58.2854,59.5806,60.8759,62.1711,62.7324,62.7324,62.7324,70.9362,79.14,83.677,86.4836,89.2902,89.5346,89.5346,89.5346,89.5346
小fu同xuo,0.0,1.323,2.6459,3.9689,5.2919,6.6148,7.9378,9.2608,10.5837,11.9067,13.2297,14.5526,15.8756,17.1986,18.5215,19.8445,21.1675,22.4904,23.8134,25.1364,26.4593,27.7823,29.1053,30.4282,31.7512,33.0742,34.3971,35.7201,37.0431,38.366,39.689,41.012,42.335,43.6579,44.9809,46.3039,47.6268,48.9498,50.2728,51.5957,52.9187,54.2417,55.5646,56.8876,58.2106,59.5335,60.8565,62.1795,63.5024,64.8254,66.1484,67.4713,68.7943,70.1173,71.4402,72.7632,74.0862,75.4091,76.7321,76.7321,76.7321
标杆算法1-IDM,64.6852,64.7944,64.9036,65.0128,65.1221,65.2313,65.3405,65.4497,65.5589,65.6681,65.7773,65.8865,65.9958,66.105,66.2142,66.3234,66.4326,66.5418,66.651,66.7603,66.8695,66.9787,67.0879,67.1971,67.3063,67.4155,67.5248,67.634,67.7432,67.8524,67.9616,68.0708,68.18,68.2892,68.3985,68.5077,68.6169,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261,68.7261
标杆算法2-Lattice,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422,10.5422
Anbc,0.0,2.5187,5.0374,7.5562,10.0749,12.5936,15.1123,17.631,20.1497,22.6685,25.1872,27.7059,30.2246,32.7433,35.2621,37.7808,40.2995,42.8182,45.3369,47.8557,50.3744,52.8931,55.4118,57.9305,60.4492,62.968,65.4867,68.0054,72.267,72.5112,72.7555,72.7599,72.7643,72.7687,72.7732,72.7776,72.782,72.7864,72.9119,73.0374,73.0374,74.2185,75.3996,76.5808,77.7619,77.7883,80.0044,86.3652,87.624,90.3202,90.3202,90.3202,90.7391,91.2136,91.8196,92.4257,93.0317,93.0317,93.0317,93.0317,93.0317
