userName,2023-04-01,2023-04-02,2023-04-03,2023-04-04,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-22,2023-04-23,2023-04-24,2023-04-25,2023-04-26,2023-04-27,2023-04-28,2023-04-29,2023-04-30,2023-05-01,2023-05-02,2023-05-03,2023-05-04,2023-05-05,2023-05-06,2023-05-07,2023-05-08,2023-05-09,2023-05-10,2023-05-11,2023-05-12,2023-05-13,2023-05-14,2023-05-15,2023-05-16,2023-05-17,2023-05-18,2023-05-19,2023-05-20,2023-05-21,2023-05-22,2023-05-23,2023-05-24,2023-05-25,2023-05-26,2023-05-27,2023-05-28,2023-05-29,2023-05-30,2023-05-31
yangyh408,0.0,1.2976,2.5951,3.8927,5.1902,6.4878,7.7853,9.0829,10.3804,11.678,12.9755,14.2731,15.5706,16.8682,18.1658,19.4633,20.7609,22.0584,23.356,24.6535,25.9511,27.2486,28.5462,29.8437,31.1413,32.4388,33.7364,35.034,36.3315,37.6291,38.9266,40.2242,41.5217,42.8193,44.1168,45.4144,46.7119,48.0095,49.307,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046
liboxuan2457,0.0,2.3668,4.7336,7.1003,9.4671,11.8339,14.2007,16.5675,18.9343,21.301,23.6678,26.0346,28.4014,30.7682,33.135,35.5017,37.8685,40.2353,42.6021,44.9689,47.3356,49.7024,52.0692,54.436,56.8028,59.1696,61.5363,63.9031,66.2699,68.6367,71.0035,73.3703,75.737,78.1038,80.4706,82.8374,85.2042,87.571,89.9377,92.3045,94.6713,94.6713,94.6713,94.6713,94.6713,94.6713,94.6713,94.6713,94.6713,94.7236,94.776,95.1544,95.5327,95.9111,95.9387,95.9662,95.9938,96.0214,96.049,96.0765,96.1041
cuteboy,0.0,1.3798,2.7596,4.1395,5.5193,6.8991,8.279,9.6588,11.0386,12.4184,13.7982,15.1781,16.5579,17.9377,19.3176,20.6974,22.0772,23.457,24.8369,26.2167,27.5965,28.9763,30.3562,31.736,33.1158,34.4956,35.8754,37.2553,38.6351,40.0149,41.3947,42.7746,44.1544,45.5342,46.914,48.2939,49.6737,51.0535,52.4333,53.8132,55.193,56.5728,57.9526,59.3325,60.7123,62.0921,63.4719,64.8518,66.2316,67.6114,68.9912,70.3711,71.7509,73.1307,74.5105,75.8904,77.2702,78.65,80.0298,81.4097,82.7895
标杆算法1-IDM,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046,50.6046
标杆算法2-Lattice,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394,28.4394
前行者,0.0,1.6675,3.3351,5.0026,6.6701,8.3377,10.0052,11.6728,13.3403,15.0078,16.6754,18.3429,20.0104,21.678,23.3455,25.013,26.6806,28.3481,30.0156,31.6832,33.3507,35.0183,36.6858,38.3533,40.0209,41.6884,43.3559,45.0235,46.691,48.3585,50.0261,51.6936,53.3611,55.0287,56.6962,58.3638,60.0313,61.6988,63.3664,65.0339,66.7014,68.369,70.0365,71.704,73.3716,75.0391,76.7066,78.3742,80.0417,81.7093,83.3768,85.0443,86.7119,88.3794,89.269,90.1586,91.0482,91.9377,92.8273,93.7169,94.6065
ZZZ,0.0,1.6967,3.3935,5.0902,6.787,8.4837,10.1804,11.8772,13.5739,15.2706,16.9674,18.6641,20.3609,22.0576,23.7543,25.4511,27.1478,28.8445,30.5413,32.238,33.9348,35.6315,37.3282,39.025,40.7217,42.4185,44.1152,45.8119,47.5087,49.2054,50.9021,52.5989,54.2956,55.9924,57.6891,59.3858,61.0826,62.7793,64.476,66.1728,67.8695,69.5663,71.263,72.9597,74.6565,76.3532,78.0499,79.7467,81.4434,83.1402,84.8369,84.8369,84.8369,84.8369,84.8369,84.8369,84.8369,84.8369,84.8369,84.8369,84.8369
ITS_Panda,0.0,2.2823,4.5647,6.847,9.1294,11.4117,13.6941,15.9764,18.2587,20.5411,22.8234,25.1058,27.3881,29.6704,31.9528,34.2351,36.5175,38.7998,41.0822,43.3645,45.6468,47.9292,50.2115,52.4939,54.7762,57.0586,59.3409,61.6232,63.9056,66.1879,68.4703,70.7526,73.0349,75.3173,77.5996,79.882,82.1643,84.4467,86.729,91.2207,91.5104,91.8001,92.0898,92.3795,92.6693,92.959,93.2487,93.5384,93.8281,94.0741,94.32,94.566,94.8119,94.8119,94.8119,94.8736,94.9353,94.997,95.0587,95.1204,95.1204
ID Group,0.0,1.4885,2.977,4.4655,5.954,7.4425,8.931,10.4195,11.908,13.3965,14.885,16.3734,17.8619,19.3504,20.8389,22.3274,23.8159,25.3044,26.7929,28.2814,29.7699,31.2584,32.7469,34.2354,35.7239,37.2124,38.7009,40.1894,41.6779,43.1664,44.6549,46.1433,47.6318,49.1203,50.6088,52.0973,53.5858,55.0743,56.5628,58.0513,59.5398,61.0283,62.5168,64.0053,65.4938,66.9823,68.4708,69.9593,71.4478,72.9363,74.4248,75.9132,77.4017,78.8902,80.3787,81.8672,83.3557,84.8442,86.3327,87.8212,89.3097
19857916106,0.0,1.8478,3.6956,5.5435,7.3913,9.2391,11.0869,12.9347,14.7826,16.6304,18.4782,20.326,22.1738,24.0217,25.8695,27.7173,29.5651,31.4129,33.2608,35.1086,36.9564,38.8042,40.652,42.4999,44.3477,46.1955,48.0433,49.8911,51.7389,53.5868,55.4346,57.2824,59.1302,60.978,62.8259,64.6737,66.5215,68.3693,70.2171,72.065,73.9128,75.7606,77.6084,79.4562,81.3041,83.1519,84.9997,85.6484,86.2971,86.9458,88.6857,90.4255,92.1653,93.9052,93.9052,93.9052,93.9052,93.9052,93.9052,93.9052,93.9052
