,x_ego,y_ego,v_ego,a_ego,yaw_ego,width_ego,length_ego,x_1,y_1,v_1,a_1,yaw_1,width_1,length_1,x_2,y_2,v_2,a_2,yaw_2,width_2,length_2,x_3,y_3,v_3,a_3,yaw_3,width_3,length_3,x_4,y_4,v_4,a_4,yaw_4,width_4,length_4,x_5,y_5,v_5,a_5,yaw_5,width_5,length_5,x_6,y_6,v_6,a_6,yaw_6,width_6,length_6,end
0.0,9.26,-3.619999999999999,31.31,0,0.0,2.02,5.36,105.85,-6.34,31.92,0,6.252,1.92,4.24,67.34,-8.15,22.93,0,0.011,2.5,16.67,76.43,-3.59,36.07,0,6.276,2.02,5.05,38.38,-3.77,30.96,0,0.0,2.22,5.46,24.03,-7.87,21.51,0,0.0,2.5,11.52,-10.45,-3.95,31.49,0,0.0,1.82,4.04,-1
0.04,10.5124,-3.619999999999999,31.11,-5.0,0.0,2.02,5.36,107.12,-6.38,31.77,-3.75,6.244,1.92,4.24,68.27,-8.14,23.0,1.75,0.011,2.5,16.67,77.87,-3.6,36.0,-1.75,0.0,2.02,5.05,39.62,-3.77,31.0,1.0,0.008,2.22,5.46,24.88,-7.87,21.25,-6.5,0.0,2.5,11.52,-9.19,-3.95,31.49,0.0,0.0,1.82,4.04,-1
0.08,11.7568,-3.619999999999999,30.91,-5.0,0.0,2.02,5.36,108.41,-6.43,32.27,12.5,6.252,1.92,4.24,69.19,-8.13,23.25,6.25,0.0,2.5,16.67,79.32,-3.6,36.25,6.25,0.0,2.02,5.05,40.86,-3.76,31.0,0.0,0.0,2.22,5.46,25.74,-7.87,21.5,6.25,0.0,2.5,11.52,-7.93,-3.95,31.49,0.0,0.0,1.82,4.04,-1
0.12,12.9932,-3.619999999999999,30.723472527856337,-4.663186803591599,0.0,2.02,5.36,109.69,-6.47,32.02,-6.25,6.252,1.92,4.24,70.12,-8.13,23.0,-6.25,0.011,2.5,16.67,80.76,-3.6,36.0,-6.25,6.276,2.02,5.05,42.1,-3.76,31.0,0.0,0.0,2.22,5.46,26.61,-7.87,21.75,6.25,0.0,2.5,11.52,-6.68,-3.95,31.49,0.0,0.0,1.82,4.04,-1
0.16,14.222138901114253,-3.619999999999999,30.575087483734425,-3.7096261030478295,0.0,2.02,5.36,110.96,-6.51,31.77,-6.25,6.244,1.92,4.24,71.03,-8.12,22.75,-6.25,0.011,2.5,16.67,82.2,-3.61,36.0,0.0,0.0,2.02,5.05,43.35,-3.76,31.25,6.25,0.0,2.22,5.46,27.48,-7.87,21.75,0.0,0.0,2.5,11.52,-5.42,-3.95,31.49,0.0,0.0,1.82,4.04,-1
0.2,15.445142400463629,-3.619999999999999,30.44054493341152,-3.363563758072626,0.0,2.02,5.36,112.24,-6.56,32.02,6.25,6.252,1.92,4.24,71.94,-8.11,22.75,0.0,0.011,2.5,16.67,83.66,-3.61,36.5,12.5,6.276,2.02,5.05,44.6,-3.76,31.25,0.0,0.0,2.22,5.46,28.36,-7.87,22.0,6.25,0.0,2.5,11.52,-4.16,-3.95,31.49,0.0,0.0,1.82,4.04,-1
0.24000000000000002,16.66276419780009,-3.619999999999999,30.30012973761889,-3.510379894815758,0.0,2.02,5.36,113.51,-6.6,31.77,-6.25,6.252,1.92,4.24,72.85,-8.1,23.0,6.25,0.0,2.5,16.67,85.11,-3.62,36.25,-6.25,0.0,2.02,5.05,45.84,-3.76,31.0,-6.25,0.008,2.22,5.46,29.23,-7.87,21.75,-6.25,0.0,2.5,11.52,-2.9,-3.95,31.49,0.0,0.0,1.82,4.04,-1
0.28,17.874769387304845,-3.619999999999999,30.189882642154238,-2.7561773866162795,0.0,2.02,5.36,114.78,-6.64,31.77,0.0,6.252,1.92,4.24,73.78,-8.1,23.0,0.0,0.011,2.5,16.67,86.58,-3.62,36.75,12.5,0.0,2.02,5.05,47.09,-3.75,31.25,6.25,0.0,2.22,5.46,30.09,-7.87,21.5,-6.25,0.012,2.5,11.52,-1.64,-3.95,31.49,0.0,0.0,1.82,4.04,-1
0.32,19.082364692991014,-3.619999999999999,30.05457855693892,-3.3826021303828897,0.0,2.02,5.36,116.05,-6.68,31.77,0.0,6.252,1.92,4.24,74.69,-8.09,22.75,-6.25,0.011,2.5,16.67,88.03,-3.62,36.25,-12.5,6.276,2.02,5.05,48.32,-3.75,30.75,-12.5,0.0,2.22,5.46,30.95,-7.86,21.5,0.0,0.0,2.5,11.52,-0.38,-3.95,31.49,0.0,0.0,1.82,4.04,-1
0.36,20.284547835268572,-3.619999999999999,29.948404713082653,-2.654346096406731,0.0,2.02,5.36,117.32,-6.72,31.77,0.0,6.252,1.92,4.24,75.6,-8.08,23.0,6.25,0.011,2.5,16.67,89.48,-3.63,36.5,6.25,0.0,2.02,5.05,49.56,-3.75,31.0,6.25,0.0,2.22,5.46,31.82,-7.86,21.75,6.25,0.0,2.5,11.52,0.88,-3.95,31.49,0.0,0.0,1.82,4.04,-1
0.39999999999999997,21.48248402379188,-3.619999999999999,29.83465982283936,-2.8436222560823503,0.0,2.02,5.36,118.59,-6.76,31.77,0.0,6.252,1.92,4.24,76.52,-8.07,22.75,-6.25,0.011,2.5,16.67,90.95,-3.63,36.5,0.0,6.276,2.02,5.05,50.79,-3.75,30.75,-6.25,0.0,2.22,5.46,32.66,-7.86,21.0,-18.75,0.0,2.5,11.52,2.14,-3.95,31.49,0.0,0.0,1.82,4.04,-1
0.43999999999999995,22.675870416705454,-3.619999999999999,29.730591322029955,-2.6017125202351523,0.0,2.02,5.36,119.87,-6.8,32.02,6.25,6.252,1.92,4.24,77.44,-8.06,23.0,6.25,0.0,2.5,16.67,92.41,-3.64,36.5,0.0,0.0,2.02,5.05,52.02,-3.75,30.75,0.0,0.008,2.22,5.46,33.52,-7.86,21.5,12.5,0.011,2.5,11.52,3.4,-3.95,31.49,0.0,0.0,1.82,4.04,-1
0.4799999999999999,23.865094069586654,-3.619999999999999,29.650666732065165,-1.9981147491197553,0.0,2.02,5.36,121.16,-6.84,32.27,6.25,6.252,1.92,4.24,78.35,-8.06,23.0,0.0,0.011,2.5,16.67,93.88,-3.64,36.75,6.25,6.276,2.02,5.05,53.26,-3.74,31.0,6.25,0.0,2.22,5.46,34.39,-7.85,21.75,6.25,0.0,2.5,11.52,4.66,-3.95,31.49,0.0,0.0,1.82,4.04,-1
0.5199999999999999,25.051120738869262,-3.619999999999999,29.5619903783199,-2.2169088436315936,0.0,2.02,5.36,122.44,-6.88,32.02,-6.25,6.252,1.92,4.24,79.28,-8.05,23.0,0.0,0.011,2.5,16.67,95.34,-3.65,36.75,0.0,0.0,2.02,5.05,54.49,-3.74,30.75,-6.25,0.0,2.22,5.46,35.26,-7.85,21.75,0.0,0.0,2.5,11.52,5.92,-3.95,31.49,0.0,0.0,1.82,4.04,-1
0.5599999999999999,26.233600354002057,-3.619999999999999,29.48041943430706,-2.039273600321017,0.0,2.02,5.36,123.72,-6.92,32.02,0.0,6.26,1.92,4.24,80.19,-8.04,22.75,-6.25,0.011,2.5,16.67,96.81,-3.65,36.5,-6.25,0.0,2.02,5.05,55.72,-3.74,30.75,0.0,0.0,2.22,5.46,36.12,-7.85,21.5,-6.25,0.011,2.5,11.52,7.18,-3.95,31.49,0.0,0.0,1.82,4.04,-1
