,x_ego,y_ego,v_ego,a_ego,yaw_ego,width_ego,length_ego,x_1,y_1,v_1,a_1,yaw_1,width_1,length_1,x_2,y_2,v_2,a_2,yaw_2,width_2,length_2,x_3,y_3,v_3,a_3,yaw_3,width_3,length_3,x_4,y_4,v_4,a_4,yaw_4,width_4,length_4,end
0.0,0.0,-0.093649,9.0061,0,0.0,2.1,4.5,58.7,1.42,4.39,0,0.0,2.1,4.5,21.45,2.42,5.63,0,0.0,2.1,4.5,136.46,1.19,3.0,0,0.0,2.1,4.5,63.55,1.77,10.16,0,0.0,2.1,4.5,-1
0.1,0.90061,-0.093649,9.191805549709073,1.8570554970907251,0.0,2.1,4.5,59.14,1.42,4.43,0.4,0.0,2.1,4.5,22.01,2.42,5.63,0.0,0.0,2.1,4.5,136.76,1.19,3.0,0.0,0.0,2.1,4.5,64.57,1.77,10.15,-0.1,0.0,2.1,4.5,-1
0.2,1.8197905549709072,-0.093649,9.374853685732058,1.8304813602298404,0.0,2.1,4.5,59.59,1.42,4.48,0.5,0.0,2.1,4.5,22.57,2.42,5.63,0.0,0.0,2.1,4.5,137.06,1.19,3.0,0.0,0.0,2.1,4.5,65.58,1.77,10.16,0.1,0.0,2.1,4.5,-1
0.30000000000000004,2.757275923544113,-0.093649,9.554374934941132,1.7952124920907393,0.0,2.1,4.5,60.04,1.42,4.52,0.4,0.0,2.1,4.5,23.14,2.42,5.62,-0.1,0.0,2.1,4.5,137.36,1.19,3.0,0.0,0.0,2.1,4.5,66.6,1.77,10.16,0.0,0.0,2.1,4.5,-1
0.4,3.712713417038226,-0.093649,9.730908450707565,1.7653351576643312,0.0,2.1,4.5,60.5,1.42,4.57,0.5,0.0,2.1,4.5,23.7,2.42,5.63,0.1,0.0,2.1,4.5,137.66,1.19,3.0,0.0,0.0,2.1,4.5,67.62,1.77,10.16,0.0,0.0,2.1,4.5,-1
0.5,4.685804262108983,-0.093649,9.903474514285083,1.7256606357751818,0.0,2.1,4.5,60.96,1.42,4.62,0.5,6.259,2.1,4.5,24.26,2.42,5.63,0.0,0.0,2.1,4.5,137.96,1.19,3.0,0.0,0.0,2.1,4.5,68.63,1.77,10.15,-0.1,0.0,2.1,4.5,-1
0.6,5.676151713537491,-0.093649,10.07270474000566,1.6923022572057675,0.0,2.1,4.5,61.43,1.41,4.68,0.6,6.244,2.1,4.5,24.83,2.42,5.63,0.0,0.0,2.1,4.5,138.26,1.19,3.0,0.0,0.0,2.1,4.5,69.65,1.77,10.16,0.1,0.0,2.1,4.5,-1
0.7,6.683422187538057,-0.093649,10.243967220568406,1.7126248056274607,0.0,2.1,4.5,61.97,1.39,5.39,7.1,6.216,2.1,4.5,25.39,2.42,5.62,-0.1,0.0,2.1,4.5,138.56,1.19,3.0,0.0,0.0,2.1,4.5,70.66,1.77,10.16,0.0,0.0,2.1,4.5,-1
0.7999999999999999,7.707818909594898,-0.093649,10.403059880208657,1.5909265964025159,0.0,2.1,4.5,62.43,1.37,4.58,-8.1,6.21,2.1,4.5,25.95,2.42,5.63,0.1,0.0,2.1,4.5,138.86,1.19,3.0,0.0,0.0,2.1,4.5,71.68,1.77,10.16,0.0,0.0,2.1,4.5,-1
0.8999999999999999,8.748124897615764,-0.093649,10.56657607478635,1.6351619457769473,0.0,2.1,4.5,62.98,1.33,5.58,10.0,6.264,2.1,4.5,26.51,2.42,5.63,0.0,0.0,2.1,4.5,139.16,1.19,3.0,0.0,0.0,2.1,4.5,72.69,1.77,10.15,-0.1,0.0,2.1,4.5,-1
0.9999999999999999,9.8047825050944,-0.093649,10.72210228948678,1.5552621470042904,0.0,2.1,4.5,63.5,1.32,5.14,-4.4,0.063,2.1,4.5,27.08,2.42,5.62,-0.1,0.0,2.1,4.5,139.46,1.19,3.0,0.0,0.0,2.1,4.5,73.71,1.77,10.16,0.1,0.0,2.1,4.5,-1
1.0999999999999999,10.876992734043078,-0.093649,10.871247427035264,1.4914513754848437,0.0,2.1,4.5,64.01,1.35,5.15,0.1,0.088,2.1,4.5,27.64,2.42,5.63,0.1,0.0,2.1,4.5,139.76,1.19,3.0,0.0,0.0,2.1,4.5,74.73,1.77,10.16,0.0,0.0,2.1,4.5,-1
1.2,11.964117476746605,-0.093649,11.003005840767997,1.3175841373273307,0.0,2.1,4.5,64.43,1.39,4.17,-9.8,0.097,2.1,4.5,28.2,2.42,5.63,0.0,0.0,2.1,4.5,140.06,1.19,3.0,0.0,0.0,2.1,4.5,75.74,1.77,10.16,0.0,0.0,2.1,4.5,-1
1.3,13.064418060823405,-0.093649,11.126739432954645,1.2373359218664695,0.0,2.1,4.5,64.84,1.43,4.16,-0.1,0.107,2.1,4.5,28.77,2.42,5.63,0.0,0.0,2.1,4.5,140.36,1.19,3.0,0.0,0.0,2.1,4.5,76.76,1.77,10.15,-0.1,0.0,2.1,4.5,-1
1.4000000000000001,14.177092004118869,-0.093649,11.24504809972387,1.1830866676922462,0.0,2.1,4.5,65.26,1.47,4.17,0.1,0.019,2.1,4.5,29.33,2.42,5.62,-0.1,0.0,2.1,4.5,140.66,1.19,3.0,0.0,0.0,2.1,4.5,77.77,1.77,10.16,0.1,0.0,2.1,4.5,-1
1.5000000000000002,15.301596814091257,-0.093649,11.354529300195942,1.094812004720711,0.0,2.1,4.5,65.67,1.48,4.14,-0.3,0.067,2.1,4.5,29.89,2.42,5.63,0.1,0.0,2.1,4.5,140.96,1.19,3.0,0.0,0.0,2.1,4.5,78.79,1.77,10.16,0.0,0.0,2.1,4.5,-1
1.6000000000000003,16.43704974411085,-0.093649,11.413020053148355,0.5849075295241312,0.0,2.1,4.5,65.85,1.49,1.78,-23.6,0.027,2.1,4.5,30.41,2.42,5.17,-4.6,0.0,2.1,4.5,141.26,1.19,3.0,0.0,0.0,2.1,4.5,79.81,1.77,10.16,0.0,0.0,2.1,4.5,-1
1.7000000000000004,17.578351749425686,-0.093649,11.541636428553453,1.2861637540509852,0.0,2.1,4.5,66.46,1.51,6.14,43.6,0.035,2.1,4.5,30.93,2.42,5.18,0.1,0.0,2.1,4.5,141.56,1.19,3.0,0.0,0.0,2.1,4.5,80.82,1.77,10.15,-0.1,0.0,2.1,4.5,-1
1.8000000000000005,18.73251539228103,-0.093649,11.665480533149914,1.2384410459646207,0.0,2.1,4.5,67.08,1.53,6.13,-0.1,0.045,2.1,4.5,31.49,2.42,5.69,5.1,0.0,2.1,4.5,141.86,1.19,3.0,0.0,0.0,2.1,4.5,81.84,1.77,10.16,0.1,0.0,2.1,4.5,-1
1.9000000000000006,19.89906344559602,-0.093649,11.773812024815475,1.0833149166556182,0.0,2.1,4.5,67.65,1.56,5.78,-3.5,0.054,2.1,4.5,31.94,2.42,4.47,-12.2,0.0,2.1,4.5,142.16,1.19,3.0,0.0,0.0,2.1,4.5,82.85,1.77,10.16,0.0,0.0,2.1,4.5,-1
2.0000000000000004,21.07644464807757,-0.093649,11.876769567412085,1.0295754259661019,0.0,2.1,4.5,68.23,1.59,5.79,0.1,6.24,2.1,4.5,32.56,2.42,6.23,17.6,0.0,2.1,4.5,142.67,1.19,5.1,21.0,0.0,2.1,4.5,83.87,1.77,10.15,-0.1,0.0,2.1,4.5,-1
2.1000000000000005,22.264121604818776,-0.093649,12.002337355372944,1.2556778796085915,0.0,2.1,4.5,68.97,1.56,7.45,16.6,6.138,2.1,4.5,33.15,2.42,5.84,-3.9,0.0,2.1,4.5,143.18,1.19,5.1,0.0,0.0,2.1,4.5,84.88,1.77,10.16,0.1,0.0,2.1,4.5,-1
2.2000000000000006,23.46435534035607,-0.093649,12.018893701807254,0.1655634643431001,0.0,2.1,4.5,69.25,1.52,2.77,-46.8,6.232,2.1,4.5,33.16,2.42,0.1,-57.4,0.0,2.1,4.5,143.7,1.19,5.2,1.0,0.0,2.1,4.5,85.9,1.77,10.16,0.0,0.0,2.1,4.5,-1
2.3000000000000007,24.666244710536798,-0.093649,12.142424490501405,1.2353078869415068,0.0,2.1,4.5,70.04,1.48,7.94,51.7,4.709,2.1,4.5,33.77,2.42,6.09,59.9,0.0,2.1,4.5,144.21,1.19,5.1,-1.0,0.002,2.1,4.5,86.92,1.77,10.16,0.0,0.0,2.1,4.5,-1
2.400000000000001,25.880487159586938,-0.093649,12.048547643914253,-0.9387684658715281,0.0,2.1,4.5,70.04,1.44,0.37,-75.7,6.105,2.1,4.5,33.77,2.42,0.0,-60.9,0.0,2.1,4.5,144.72,1.19,5.1,0.0,0.003,2.1,4.5,87.93,1.77,10.15,-0.1,0.0,2.1,4.5,-1
