scenario,type
1cutin10,following
1cutin13,following
1cutin28,following
1cutin47,following
1cutin74,rampin
1cutin107,following
1following186,following
1following210,rampin
1lanechange32,rampin
1lanechange108,following
2cutin6,following
2cutin53,following
2cutin97,following
2lanechange60,rampin
2opp42,following
2opp43,following
cutin58,following
cutin91,following
cutin96,following
cutin150,following
following102,rampin
rush7,following
rush9,following
1following199,following
1lanechange59,following
1following145,rampout
1lanechange42,rampout
2turn36,rampout
2turn42,rampout
2following439,following
2lanechange18,rampout
